author_name,author_location,rating,title,body,product,source,verified,status,reviewed_at
Sarah M.,"Portland, OR",5,"A keepsake we'll treasure forever","The personalized memory book arrived beautifully packaged and the print quality is stunning. Everyone in the family teared up. Worth every penny.",Personalized Memory Book,website,true,published,2026-02-14
James T.,"Austin, TX",5,"Better than I imagined","I recorded a message for my daughter's graduation and the audio keepsake captured it perfectly. The craftsmanship is top notch.",Audio Message Keepsake,website,true,published,2026-03-02
Priya R.,"London, UK",4,"Lovely gift, slight delay","The engraved photo plaque looks gorgeous on our wall. Shipping took a few days longer than estimated but support kept me updated.",Photo Engraved Plaque,trustpilot,true,published,2026-01-27
Daniel K.,"Toronto, ON",5,"Made my mom cry (happy tears)","Ordered the custom star map of the night my parents met. The detail is incredible and the framing is premium quality.",Custom Star Map,google,true,published,2026-03-19
Emily C.,"Brighton, UK",3,"Good product, packaging could improve","The memory book itself is great but the box was a little crushed in transit. Memorygram sent a replacement sleeve quickly though.",Personalized Memory Book,trustpilot,true,published,2026-02-28
Marcus B.,"Chicago, IL",5,"Incredible memorial gift","We got the memorial wind chime engraved with my grandfather's name. The sound is beautiful and it's become a daily comfort.",Memorial Wind Chime,website,true,published,2026-04-05
Aisha N.,"Dubai, UAE",5,"Fast, thoughtful, high quality","Customer service helped me customize a last-minute anniversary gift. Arrived in two days and exceeded expectations.",Audio Message Keepsake,website,false,published,2026-04-21
Tom W.,"Manchester, UK",4,"Great quality, easy to order","The website made it simple to upload photos and preview the layout. The finished plaque is heavier and nicer than expected.",Photo Engraved Plaque,website,true,published,2026-03-30
Lucia F.,"Madrid, ES",5,"Beautiful and meaningful","I gifted the star map for my partner's birthday and they were speechless. The colors are vivid and the paper feels luxurious.",Custom Star Map,google,true,published,2026-05-02
Henry P.,"Dublin, IE",2,"Engraving had a typo","There was a spelling mistake in the engraving on my first order. To their credit, Memorygram remade it for free and the second one was perfect.",Memorial Wind Chime,trustpilot,true,published,2026-04-12
Olivia S.,"Seattle, WA",5,"My go-to for sentimental gifts","This is my third order. The memory book for my parents' 40th anniversary was flawless. I recommend Memorygram to everyone.",Personalized Memory Book,website,true,published,2026-05-10
Nathan G.,"Cardiff, UK",4,"Heartfelt and well made","The audio keepsake is a clever idea and beautifully executed. Would love more color options for the casing.",Audio Message Keepsake,website,true,published,2026-05-15
